age,year,fertility_rate,date,gender
45-49,2006,0.026311595366982354,2006,F
50-54,2006,0.004915086570276276,2006,F
55-59,2006,0.0018171321458558484,2006,F
60-64,2006,0.004790799393864002,2006,F
65-69,2006,0,2006,F
70-74,2006,0,2006,F
75-79,2006,0,2006,F
80+,2006,0,2006,F
under 15-NA,2005,0,2005,F
15-19,2005,0.12013628888023115,2005,F
20-24,2005,0.2604007676679391,2005,F
25-29,2005,0.2538424137638127,2005,F
30-34,2005,0.21506886887269977,2005,F
35-39,2005,0.1661465367695246,2005,F
40-44,2005,0.08501744953048393,2005,F
45-49,2005,0.026311595366982354,2005,F
50-54,2005,0.004915086570276276,2005,F
55-59,2005,0.0018171321458558484,2005,F
60-64,2005,0.004790799393864002,2005,F
65-69,2005,0,2005,F
70-74,2005,0,2005,F
75-79,2005,0,2005,F
80+,2005,0,2005,F
under 15-NA,2004,0,2004,F
15-19,2004,0.1138698495403153,2004,F
20-24,2004,0.2904433954326555,2004,F
25-29,2004,0.2698834719545649,2004,F
30-34,2004,0.22908659523986366,2004,F
35-39,2004,0.16004968924570367,2004,F
40-44,2004,0.09457717213494805,2004,F
45-49,2004,0.02917325252283227,2004,F
50-54,2004,0.008161268707901735,2004,F
55-59,2004,0.002001207817262475,2004,F
60-64,2004,0.0022162803353789136,2004,F
65-69,2004,0.010346452464019606,2004,F
70-74,2004,0,2004,F
75-79,2004,0,2004,F
80+,2004,0,2004,F
under 15-NA,2003,0,2003,F
15-19,2003,0.1138698495403153,2003,F
20-24,2003,0.2904433954326555,2003,F
25-29,2003,0.2698834719545649,2003,F
30-34,2003,0.22908659523986366,2003,F
35-39,2003,0.16004968924570367,2003,F
40-44,2003,0.09457717213494805,2003,F
45-49,2003,0.02917325252283227,2003,F
50-54,2003,0.008161268707901735,2003,F
55-59,2003,0.002001207817262475,2003,F
60-64,2003,0.0022162803353789136,2003,F
65-69,2003,0.010346452464019606,2003,F
70-74,2003,0,2003,F
75-79,2003,0,2003,F
80+,2003,0,2003,F
under 15-NA,2002,0,2002,F
15-19,2002,0.1138698495403153,2002,F
20-24,2002,0.2904433954326555,2002,F
25-29,2002,0.2698834719545649,2002,F
30-34,2002,0.22908659523986366,2002,F
35-39,2002,0.16004968924570367,2002,F
40-44,2002,0.09457717213494805,2002,F
45-49,2002,0.02917325252283227,2002,F
50-54,2002,0.008161268707901735,2002,F
55-59,2002,0.002001207817262475,2002,F
60-64,2002,0.0022162803353789136,2002,F
65-69,2002,0.010346452464019606,2002,F
70-74,2002,0,2002,F
75-79,2002,0,2002,F
80+,2002,0,2002,F
under 15-NA,2001,0,2001,F
15-19,2001,0.1138698495403153,2001,F
20-24,2001,0.2904433954326555,2001,F
25-29,2001,0.2698834719545649,2001,F
30-34,2001,0.22908659523986366,2001,F
35-39,2001,0.16004968924570367,2001,F
40-44,2001,0.09457717213494805,2001,F
45-49,2001,0.02917325252283227,2001,F
50-54,2001,0.008161268707901735,2001,F
55-59,2001,0.002001207817262475,2001,F
60-64,2001,0.0022162803353789136,2001,F
65-69,2001,0.010346452464019606,2001,F
70-74,2001,0,2001,F
75-79,2001,0,2001,F
80+,2001,0,2001,F
under 15-NA,2000,0,2000,F
15-19,2000,0.1138698495403153,2000,F
20-24,2000,0.2904433954326555,2000,F
25-29,2000,0.2698834719545649,2000,F
30-34,2000,0.22908659523986366,2000,F
35-39,2000,0.16004968924570367,2000,F
40-44,2000,0.09457717213494805,2000,F
45-49,2000,0.02917325252283227,2000,F
