"","age","gender","deaths"
"1","0-9","Male",6
"2","10-19","Male",10
"3","20-29","Male",15
"4","30-39","Male",92
"5","40-49","Male",236
"6","50-59","Male",359
"7","60-69","Male",334
"8","70+","Male",410
"9","0-9","Female",8
"10","10-19","Female",9
"11","20-29","Female",33
"12","30-39","Female",67
"13","40-49","Female",102
"14","50-59","Female",130
"15","60-69","Female",208
"16","70+","Female",274
