"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",0,4,5
"2",2,"10-19","Male",6,8,1
"3",3,"20-29","Male",18,23,5
"4",4,"30-39","Male",67,99,27
"5",5,"40-49","Male",183,250,59
"6",6,"50-59","Male",238,355,121
"7",7,"60-69","Male",195,347,138
"8",8,"70+","Male",171,415,236
"9",9,"0-9","Female",0,10,8
"10",10,"10-19","Female",0,12,9
"11",11,"20-29","Female",18,39,19
"12",12,"30-39","Female",37,72,35
"13",13,"40-49","Female",61,86,30
"14",14,"50-59","Female",43,140,109
"15",15,"60-69","Female",73,183,123
"16",16,"70+","Female",37,244,202
