"","age","gender","deaths"
"1","0-9","Male",0
"2","10-19","Male",8
"3","20-29","Male",20
"4","30-39","Male",59
"5","40-49","Male",160
"6","50-59","Male",261
"7","60-69","Male",198
"8","70+","Male",162
"9","0-9","Female",0
"10","10-19","Female",0
"11","20-29","Female",16
"12","30-39","Female",33
"13","40-49","Female",56
"14","50-59","Female",36
"15","60-69","Female",68
"16","70+","Female",47
