"age","gender","deaths"
"1-10","Male",0
"11-20","Male",23
"21-30","Male",248
"31-40","Male",329
"41-50","Male",737
"51-60","Male",517
"61-70","Male",458
"71-80","Male",472
"81-90","Male",112
"91+","Male",0
"1-10","Female",47
"11-20","Female",23
"21-30","Female",220
"31-40","Female",419
"41-50","Female",246
"51-60","Female",278
"61-70","Female",196
"71-80","Female",277
"81-90","Female",28
"91+","Female",47
