"","age","gender","deaths"
"1","1-10","Male",0
"2","11-20","Male",30
"3","21-30","Male",243
"4","31-40","Male",342
"5","41-50","Male",733
"6","51-60","Male",506
"7","61-70","Male",466
"8","71-80","Male",488
"9","81-90","Male",112
"10","91+","Male",0
"11","1-10","Female",47
"12","11-20","Female",29
"13","21-30","Female",226
"14","31-40","Female",459
"15","41-50","Female",245
"16","51-60","Female",299
"17","61-70","Female",203
"18","71-80","Female",271
"19","81-90","Female",23
"20","91+","Female",38
