"age","gender","deaths","nb_c","orphans"
"1-10","Female",47,0,0
"1-10","Male",0,0,0
"11-20","Female",23,0.116811298498881,3
"11-20","Male",23,0.00393642302991414,0
"21-30","Female",220,1.48794638153246,327
"21-30","Male",248,0.74434960882127,185
"31-40","Female",419,2.94218288873554,1233
"31-40","Male",329,2.90741749171966,957
"41-50","Female",246,2.03742044512747,501
"41-50","Male",737,3.65788191798433,2696
"51-60","Female",278,0.574489854061445,160
"51-60","Male",517,2.3265642646067,1203
"61-70","Female",196,0.055117314875572,11
"61-70","Male",458,1.04717096012203,480
"71-80","Female",277,0,0
"71-80","Male",472,0.416481247109413,197
"81-90","Female",28,0,0
"81-90","Male",112,0.185730417606326,21
"91+","Female",47,0,0
"91+","Male",0,0.0223016174580737,0
