"age","gender","deaths"
"1-10","Male",0
"11-20","Male",8
"21-30","Male",83
"31-40","Male",110
"41-50","Male",247
"51-60","Male",173
"61-70","Male",154
"71-80","Male",158
"81-90","Male",38
"91+","Male",0
"1-10","Female",16
"11-20","Female",8
"21-30","Female",74
"31-40","Female",140
"41-50","Female",82
"51-60","Female",93
"61-70","Female",66
"71-80","Female",93
"81-90","Female",9
"91+","Female",16
